nome,telefone,email,genero,segmento,tamanho,areaProduto,funcao,estrategiaMarketing,ia,estrategiaAtendimento,aumentoProdutividade,comunicacao,ambienteIntegrado,capacitacao,reducaoCusto,conversao,vendas,ferramentas,timeVendas,estrategiaEmpresa,marca,jornada,marketingOportunidade,produto_sugerido
Cliente 1,(11) 975682867,cliente1@exemplo.com,Feminino,C,Médio,Área 3,Função 1,Estrategia B,Sim,Proativa,Sim,Boa,Sim,Não,Não,Não,457,Ferramenta A,Time 2,Estrategia 1,Marca B,Jornada 1,Sim,Produto 3
Cliente 2,(11) 966755036,cliente2@exemplo.com,Masculino,A,Médio,Área 1,Função 1,Estrategia A,Sim,Proativa,Sim,Ruim,Sim,Sim,Não,Sim,717,Ferramenta A,Time 2,Estrategia 1,Marca A,Jornada 1,Sim,Produto 1
Cliente 3,(11) 966882282,cliente3@exemplo.com,Feminino,C,Grande,Área 1,Função 3,Estrategia A,Sim,Proativa,Não,Boa,Não,Sim,Sim,Sim,606,Ferramenta B,Time 2,Estrategia 2,Marca A,Jornada 2,Não,Produto 3
Cliente 4,(11) 931081788,cliente4@exemplo.com,Feminino,C,Pequeno,Área 1,Função 1,Estrategia B,Não,Proativa,Não,Boa,Sim,Não,Sim,Não,658,Ferramenta A,Time 1,Estrategia 2,Marca A,Jornada 2,Não,Produto 3
Cliente 5,(11) 923315092,cliente5@exemplo.com,Masculino,C,Médio,Área 2,Função 1,Estrategia B,Não,Reativa,Não,Regular,Sim,Não,Não,Não,280,Ferramenta C,Time 2,Estrategia 1,Marca A,Jornada 1,Não,Produto 3
Cliente 6,(11) 945788921,cliente6@exemplo.com,Masculino,B,Médio,Área 1,Função 3,Estrategia A,Não,Reativa,Não,Boa,Sim,Não,Não,Sim,675,Ferramenta C,Time 2,Estrategia 2,Marca A,Jornada 2,Não,Produto 2
Cliente 7,(11) 936735830,cliente7@exemplo.com,Feminino,B,Pequeno,Área 3,Função 2,Estrategia B,Não,Reativa,Não,Boa,Sim,Sim,Não,Não,345,Ferramenta A,Time 1,Estrategia 2,Marca A,Jornada 1,Sim,Produto 2
Cliente 8,(11) 941632483,cliente8@exemplo.com,Masculino,B,Grande,Área 2,Função 1,Estrategia A,Não,Proativa,Sim,Ruim,Sim,Sim,Não,Não,343,Ferramenta A,Time 1,Estrategia 2,Marca B,Jornada 2,Não,Produto 2
Cliente 9,(11) 986737383,cliente9@exemplo.com,Masculino,C,Pequeno,Área 3,Função 3,Estrategia B,Não,Proativa,Não,Boa,Sim,Não,Sim,Não,605,Ferramenta C,Time 2,Estrategia 1,Marca B,Jornada 1,Não,Produto 3
Cliente 10,(11) 998358551,cliente10@exemplo.com,Masculino,B,Grande,Área 1,Função 1,Estrategia B,Sim,Reativa,Sim,Ruim,Sim,Sim,Não,Não,521,Ferramenta A,Time 1,Estrategia 1,Marca A,Jornada 1,Sim,Produto 2
Cliente 11,(11) 998409749,cliente11@exemplo.com,Feminino,B,Médio,Área 1,Função 1,Estrategia A,Não,Proativa,Não,Boa,Sim,Não,Sim,Sim,419,Ferramenta C,Time 1,Estrategia 2,Marca A,Jornada 2,Sim,Produto 2
Cliente 12,(11) 914981505,cliente12@exemplo.com,Feminino,A,Grande,Área 1,Função 2,Estrategia A,Não,Proativa,Não,Boa,Sim,Não,Sim,Não,186,Ferramenta B,Time 1,Estrategia 2,Marca B,Jornada 2,Sim,Produto 1
Cliente 13,(11) 923953367,cliente13@exemplo.com,Masculino,B,Médio,Área 2,Função 1,Estrategia A,Sim,Reativa,Sim,Ruim,Sim,Sim,Não,Sim,316,Ferramenta C,Time 2,Estrategia 1,Marca B,Jornada 2,Não,Produto 2
Cliente 14,(11) 995652971,cliente14@exemplo.com,Feminino,B,Pequeno,Área 3,Função 3,Estrategia A,Sim,Proativa,Sim,Regular,Não,Não,Sim,Sim,589,Ferramenta B,Time 1,Estrategia 2,Marca B,Jornada 2,Sim,Produto 2
Cliente 15,(11) 914521373,cliente15@exemplo.com,Feminino,C,Pequeno,Área 2,Função 1,Estrategia B,Não,Reativa,Não,Ruim,Não,Não,Não,Sim,618,Ferramenta A,Time 2,Estrategia 1,Marca A,Jornada 2,Não,Produto 3
Cliente 16,(11) 913344769,cliente16@exemplo.com,Feminino,C,Pequeno,Área 2,Função 2,Estrategia A,Sim,Proativa,Não,Ruim,Não,Não,Sim,Sim,377,Ferramenta A,Time 2,Estrategia 2,Marca A,Jornada 2,Sim,Produto 3
Cliente 17,(11) 986893497,cliente17@exemplo.com,Feminino,C,Grande,Área 1,Função 2,Estrategia B,Não,Reativa,Não,Ruim,Não,Sim,Não,Não,948,Ferramenta B,Time 2,Estrategia 2,Marca B,Jornada 1,Sim,Produto 3
Cliente 18,(11) 940349564,cliente18@exemplo.com,Feminino,C,Médio,Área 2,Função 3,Estrategia A,Sim,Proativa,Não,Regular,Sim,Não,Sim,Não,821,Ferramenta A,Time 2,Estrategia 2,Marca A,Jornada 2,Não,Produto 3
Cliente 19,(11) 952860080,cliente19@exemplo.com,Masculino,C,Pequeno,Área 2,Função 2,Estrategia A,Não,Proativa,Sim,Boa,Não,Não,Sim,Não,268,Ferramenta B,Time 1,Estrategia 1,Marca A,Jornada 1,Sim,Produto 3
Cliente 20,(11) 987751354,cliente20@exemplo.com,Masculino,C,Pequeno,Área 1,Função 1,Estrategia B,Sim,Reativa,Não,Ruim,Não,Não,Não,Sim,429,Ferramenta A,Time 2,Estrategia 1,Marca A,Jornada 1,Sim,Produto 3
Cliente 21,(11) 972250665,cliente21@exemplo.com,Masculino,B,Médio,Área 2,Função 2,Estrategia A,Sim,Proativa,Sim,Ruim,Sim,Não,Não,Sim,749,Ferramenta C,Time 1,Estrategia 1,Marca B,Jornada 2,Sim,Produto 2
Cliente 22,(11) 976209791,cliente22@exemplo.com,Feminino,C,Pequeno,Área 1,Função 3,Estrategia A,Não,Proativa,Não,Regular,Não,Não,Sim,Sim,540,Ferramenta A,Time 2,Estrategia 1,Marca B,Jornada 1,Sim,Produto 3
Cliente 23,(11) 956792155,cliente23@exemplo.com,Feminino,C,Médio,Área 1,Função 2,Estrategia A,Não,Reativa,Sim,Ruim,Não,Não,Sim,Não,490,Ferramenta C,Time 1,Estrategia 2,Marca A,Jornada 1,Sim,Produto 3
Cliente 24,(11) 931498555,cliente24@exemplo.com,Masculino,A,Médio,Área 1,Função 2,Estrategia A,Não,Proativa,Sim,Boa,Sim,Não,Não,Sim,595,Ferramenta C,Time 2,Estrategia 2,Marca A,Jornada 2,Não,Produto 1
Cliente 25,(11) 970221198,cliente25@exemplo.com,Feminino,B,Médio,Área 1,Função 2,Estrategia B,Não,Reativa,Não,Regular,Sim,Sim,Sim,Não,480,Ferramenta B,Time 1,Estrategia 1,Marca A,Jornada 2,Não,Produto 2
Cliente 26,(11) 989757501,cliente26@exemplo.com,Masculino,B,Médio,Área 2,Função 3,Estrategia B,Não,Proativa,Sim,Boa,Sim,Sim,Não,Não,405,Ferramenta A,Time 2,Estrategia 2,Marca A,Jornada 2,Sim,Produto 2
Cliente 27,(11) 926861870,cliente27@exemplo.com,Masculino,B,Médio,Área 1,Função 2,Estrategia A,Sim,Proativa,Não,Boa,Não,Não,Sim,Não,841,Ferramenta B,Time 2,Estrategia 2,Marca A,Jornada 1,Não,Produto 2
